# Fortney, Marley and Barnes (2007), Astrophysical Journal v. 659, 1661-1672


# Models with 100 Earth mass heavy elements cores at 1.000 AU from the Sun.


# NOTE: -Me   ---> Mass in Mearth
#       -Mj   ---> Mass in Mjupiter
#       -Rj   ---> Radius in Rjupiter
#       -g    ---> Surface gravity in m/s^2
#       -Tint ---> Internal temperature in K
#       -L    ---> Internal luminosity in erg/s


# t (Gyr) =  0.0010
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
  129.15    0.406    0.777   16.678    682.8    4.79E+27
  166.81    0.525    0.992   13.228    758.8    1.19E+28
  215.44    0.678    1.139   12.955    852.5    2.50E+28
  278.26    0.875    1.253   13.831    955.5    4.77E+28
  317.89    1.000    1.304   14.585   1013.4    6.53E+28
  359.38    1.131    1.350   15.383   1069.8    8.69E+28
  464.16    1.460    1.441   17.451   1196.5    1.55E+29
  599.48    1.886    1.532   19.925   1330.9    2.69E+29
  774.26    2.436    1.627   22.815   1472.1    4.54E+29
 1000.00    3.146    1.725   26.225   1615.6    7.39E+29
 1291.55    4.063    1.818   30.496   1768.9    1.18E+30
 1668.10    5.247    1.903   35.951   1934.1    1.85E+30
 2154.43    6.777    1.975   43.100   2083.6    2.68E+30
 2782.56    8.753    2.047   51.834   2205.1    3.61E+30
 3593.81   11.305    2.123   62.179   2344.8    4.97E+30
# ----------------------------------------------------------


# t (Gyr) =  0.0032
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
  129.15    0.406    0.723   19.269    498.9    1.18E+27
  166.81    0.525    0.908   15.792    587.2    3.58E+27
  215.44    0.678    1.038   15.596    656.3    7.29E+27
  278.26    0.875    1.135   16.846    724.9    1.30E+28
  317.89    1.000    1.176   17.932    763.5    1.71E+28
  359.38    1.131    1.211   19.121    802.2    2.22E+28
  464.16    1.460    1.272   22.384    901.5    3.90E+28
  599.48    1.886    1.327   26.540   1021.4    6.99E+28
  774.26    2.436    1.380   31.720   1157.5    1.25E+29
 1000.00    3.146    1.432   38.062   1312.2    2.22E+29
 1291.55    4.063    1.488   45.513   1446.1    3.53E+29
 1668.10    5.247    1.559   53.533   1590.7    5.68E+29
 2154.43    6.777    1.639   62.571   1732.6    8.82E+29
 2782.56    8.753    1.721   73.318   1881.4    1.35E+30
 3593.81   11.305    1.805   86.067   2041.4    2.06E+30
# ----------------------------------------------------------


# t (Gyr) =  0.0100
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
  129.15    0.406    0.683   21.567    369.5    3.18E+26
  166.81    0.525    0.848   18.078    435.9    9.48E+26
  215.44    0.678    0.964   18.072    483.8    1.86E+27
  278.26    0.875    1.050   19.699    539.0    3.39E+27
  317.89    1.000    1.086   21.045    572.7    4.64E+27
  359.38    1.131    1.115   22.536    604.8    6.08E+27
  464.16    1.460    1.166   26.651    679.0    1.06E+28
  599.48    1.886    1.206   32.138    764.2    1.81E+28
  774.26    2.436    1.238   39.434    865.3    3.13E+28
 1000.00    3.146    1.275   47.971    947.9    4.79E+28
 1291.55    4.063    1.318   57.977   1063.1    8.10E+28
 1668.10    5.247    1.365   69.865   1198.3    1.40E+29
 2154.43    6.777    1.414   84.066   1348.5    2.41E+29
 2782.56    8.753    1.465  101.188   1523.9    4.22E+29
 3593.81   11.305    1.523  120.940   1716.5    7.34E+29
# ----------------------------------------------------------


# t (Gyr) =  0.0316
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
  129.15    0.406    0.654   23.578    267.8    8.03E+25
  166.81    0.525    0.803   20.170    315.0    2.31E+26
  215.44    0.678    0.909   20.328    360.1    5.08E+26
  278.26    0.875    0.989   22.180    403.3    9.44E+26
  317.89    1.000    1.023   23.696    426.3    1.26E+27
  359.38    1.131    1.051   25.381    447.7    1.62E+27
  464.16    1.460    1.097   30.076    495.5    2.64E+27
  599.48    1.886    1.133   36.412    549.3    4.27E+27
  774.26    2.436    1.163   44.646    597.1    6.28E+27
 1000.00    3.146    1.196   54.580    659.8    9.90E+27
