# Fortney, Marley and Barnes (2007), Astrophysical Journal v. 659, 1661-1672


# Models with 10 Earth mass heavy elements cores at 1.000 AU from the Sun.


# NOTE: -Me   ---> Mass in Mearth
#       -Mj   ---> Mass in Mjupiter
#       -Rj   ---> Radius in Rjupiter
#       -g    ---> Surface gravity in m/s^2
#       -Tint ---> Internal temperature in K
#       -L    ---> Internal luminosity in erg/s


# t (Gyr) =  0.0010
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   16.68    0.052    1.533    0.555    184.4    9.97E+25
   21.54    0.068    1.742    0.554    201.2    1.82E+26
   27.83    0.088    1.867    0.624    228.0    3.47E+26
   35.94    0.113    1.988    0.710    265.9    7.22E+26
   46.42    0.146    2.065    0.850    305.4    1.36E+27
   59.95    0.189    2.110    1.051    350.4    2.45E+27
   77.43    0.244    2.097    1.373    401.4    4.16E+27
  100.00    0.315    2.009    1.934    462.8    6.76E+27
  129.15    0.406    1.854    2.932    546.6    1.12E+28
  166.81    0.525    1.702    4.492    632.8    1.69E+28
  215.44    0.678    1.640    6.253    713.7    2.56E+28
  278.26    0.875    1.617    8.302    824.9    4.44E+28
  317.89    1.000    1.618    9.476    888.5    5.97E+28
  359.38    1.131    1.624   10.631    949.2    7.83E+28
  464.16    1.460    1.647   13.341   1086.5    1.38E+29
  599.48    1.886    1.691   16.366   1232.7    2.41E+29
  774.26    2.436    1.750   19.719   1388.2    4.15E+29
 1000.00    3.146    1.823   23.473   1546.3    6.93E+29
 1291.55    4.063    1.901   27.878   1707.2    1.12E+30
 1668.10    5.247    1.975   33.367   1880.6    1.78E+30
 2154.43    6.777    2.034   40.634   2058.7    2.71E+30
 2782.56    8.753    2.093   49.572   2182.1    3.62E+30
 3593.81   11.305    2.159   60.152   2324.0    4.96E+30
# ----------------------------------------------------------


# t (Gyr) =  0.0032
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   16.68    0.052    1.336    0.729    160.6    4.34E+25
   21.54    0.068    1.532    0.717    171.6    7.47E+25
   27.83    0.088    1.627    0.822    192.5    1.34E+26
   35.94    0.113    1.682    0.992    223.1    2.57E+26
   46.42    0.146    1.706    1.245    258.4    4.73E+26
   59.95    0.189    1.720    1.582    297.4    8.46E+26
   77.43    0.244    1.705    2.078    341.4    1.45E+27
  100.00    0.315    1.654    2.853    395.8    2.45E+27
  129.15    0.406    1.565    4.113    458.1    3.93E+27
  166.81    0.525    1.511    5.698    504.0    5.39E+27
  215.44    0.678    1.483    7.645    569.5    8.43E+27
  278.26    0.875    1.469   10.066    641.6    1.33E+28
  317.89    1.000    1.466   11.535    681.4    1.69E+28
  359.38    1.131    1.467   13.031    720.4    2.12E+28
  464.16    1.460    1.470   16.749    818.0    3.53E+28
  599.48    1.886    1.481   21.322    942.8    6.33E+28
  774.26    2.436    1.499   26.874   1083.4    1.13E+29
 1000.00    3.146    1.525   33.557   1242.8    2.02E+29
 1291.55    4.063    1.558   41.536   1412.6    3.52E+29
 1668.10    5.247    1.611   50.149   1553.6    5.51E+29
 2154.43    6.777    1.680   59.558   1704.1    8.68E+29
 2782.56    8.753    1.754   70.548   1854.9    1.33E+30
