# Fortney, Marley and Barnes (2007), Astrophysical Journal v. 659, 1661-1672


# Models without heavy elements cores at 1.000 AU from the Sun.


# NOTE: -Me   ---> Mass in Mearth
#       -Mj   ---> Mass in Mjupiter
#       -Rj   ---> Radius in Rjupiter
#       -g    ---> Surface gravity in m/s^2
#       -Tint ---> Internal temperature in K
#       -L    ---> Internal luminosity in erg/s


# t (Gyr) =  0.0010
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   10.00    0.031    2.628    0.113     36.9    4.69E+23
   12.92    0.041    2.433    0.171     48.3    1.17E+24
   16.68    0.052    2.028    0.317     66.8    2.98E+24
   21.54    0.068    1.694    0.586     80.4    4.40E+24
   27.83    0.088    1.550    0.904     92.0    6.29E+24
   35.94    0.113    1.454    1.327    105.6    9.62E+24
   46.42    0.146    1.377    1.910    120.6    1.46E+25
   59.95    0.189    1.319    2.688    137.0    2.24E+25
   77.43    0.244    1.275    3.716    154.3    3.36E+25
  100.00    0.315    1.254    4.958    165.4    4.30E+25
  129.15    0.406    1.251    6.441    184.5    6.65E+25
  166.81    0.525    1.246    8.386    209.1    1.08E+26
  215.44    0.678    1.237   10.991    237.1    1.76E+26
  278.26    0.875    1.227   14.426    268.3    2.85E+26
  317.89    1.000    1.222   16.604    284.8    3.58E+26
  359.38    1.131    1.220   18.845    301.3    4.48E+26
  464.16    1.460    1.217   24.442    336.9    6.97E+26
  599.48    1.886    1.216   31.648    377.8    1.10E+27
  774.26    2.436    1.212   41.121    420.0    1.67E+27
 1000.00    3.146    1.218   52.593    468.3    2.60E+27
 1291.55    4.063    1.225   67.103    534.3    4.46E+27
 1668.10    5.247    1.230   86.077    609.6    7.62E+27
 2154.43    6.777    1.229  111.362    697.2    1.30E+28
 2782.56    8.753    1.222  145.274    819.8    2.47E+28
 3593.81   11.305    1.214  190.145    974.3    4.85E+28
# ----------------------------------------------------------


# t (Gyr) =  0.3162
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   10.00    0.031    1.986    0.198     36.9    2.65E+23
   12.92    0.041    1.717    0.343     49.7    6.55E+23
   16.68    0.052    1.489    0.587     57.6    8.91E+23
   21.54    0.068    1.388    0.873     65.3    1.28E+24
   27.83    0.088    1.317    1.253     74.8    1.98E+24
   35.94    0.113    1.261    1.765     85.7    3.13E+24
   46.42    0.146    1.216    2.450     97.1    4.80E+24
   59.95    0.189    1.183    3.343    109.0    7.20E+24
   77.43    0.244    1.165    4.454    117.5    9.47E+24
  100.00    0.315    1.172    5.683    127.3    1.32E+25
  129.15    0.406    1.179    7.248    140.6    1.98E+25
  166.81    0.525    1.182    9.316    155.8    3.00E+25
  215.44    0.678    1.179   12.089    173.8    4.63E+25
  278.26    0.875    1.173   15.770    195.1    7.29E+25
  317.89    1.000    1.171   18.099    207.7    9.33E+25
  359.38    1.131    1.169   20.529    219.8    1.16E+26
  464.16    1.460    1.167   26.579    247.9    1.88E+26
  599.48    1.886    1.166   34.395    278.7    3.00E+26
  774.26    2.436    1.166   44.442    307.6    4.44E+26
 1000.00    3.146    1.173   56.701    345.2    7.13E+26
 1291.55    4.063    1.177   72.706    388.6    1.15E+27
 1668.10    5.247    1.175   94.205    440.5    1.90E+27
 2154.43    6.777    1.167  123.503    511.6    3.41E+27
 2782.56    8.753    1.152  163.523    600.6    6.30E+27
 3593.81   11.305    1.133  218.380    707.6    1.17E+28
# ----------------------------------------------------------


# t (Gyr) =  1.0000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   10.00    0.031    1.412    0.392     37.4    1.42E+23
   12.92    0.041    1.292    0.605     41.2    1.76E+23
   16.68    0.052    1.229    0.862     46.5    2.57E+23
   21.54    0.068    1.184    1.198     53.1    4.08E+23
   27.83    0.088    1.148    1.647     60.3    6.37E+23
   35.94    0.113    1.118    2.242     67.8    9.62E+23
   46.42    0.146    1.095    3.018     75.6    1.43E+24
   59.95    0.189    1.080    4.011     83.4    2.06E+24
   77.43    0.244    1.086    5.118     87.8    2.55E+24
  100.00    0.315    1.103    6.410     95.4    3.69E+24
  129.15    0.406    1.118    8.066    104.8    5.50E+24
  166.81    0.525    1.126   10.256    116.1    8.41E+24
  215.44    0.678    1.130   13.168    129.8    1.32E+25
  278.26    0.875    1.129   17.041    145.6    2.09E+25
  317.89    1.000    1.128   19.498    154.5    2.64E+25
  359.38    1.131    1.127   22.059    163.1    3.29E+25
  464.16    1.460    1.127   28.495    182.3    5.12E+25
  599.48    1.886    1.127   36.827    203.4    7.95E+25
  774.26    2.436    1.130   47.316    223.2    1.16E+26
 1000.00    3.146    1.136   60.495    249.6    1.83E+26
