# Fortney, Marley and Barnes (2007), Astrophysical Journal v. 659, 1661-1672


# Models with 50 Earth mass heavy elements cores at 1.000 AU from the Sun.


# NOTE: -Me   ---> Mass in Mearth
#       -Mj   ---> Mass in Mjupiter
#       -Rj   ---> Radius in Rjupiter
#       -g    ---> Surface gravity in m/s^2
#       -Tint ---> Internal temperature in K
#       -L    ---> Internal luminosity in erg/s


# t (Gyr) =  0.0010
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   59.95    0.189    0.720    9.014    453.0    7.97E+26
   77.43    0.244    0.998    6.063    524.2    2.74E+27
  100.00    0.315    1.174    5.666    577.2    5.59E+27
  129.15    0.406    1.283    6.122    626.8    9.26E+27
  166.81    0.525    1.356    7.082    689.9    1.52E+28
  215.44    0.678    1.405    8.511    781.9    2.70E+28
  278.26    0.875    1.453   10.285    887.8    4.80E+28
  317.89    1.000    1.476   11.382    948.3    6.45E+28
  359.38    1.131    1.500   12.469   1007.0    8.45E+28
  464.16    1.460    1.556   14.953   1137.5    1.48E+29
  599.48    1.886    1.620   17.814   1277.2    2.55E+29
  774.26    2.436    1.695   21.016   1426.6    4.34E+29
 1000.00    3.146    1.780   24.637   1578.2    7.16E+29
 1291.55    4.063    1.865   28.970   1734.9    1.15E+30
 1668.10    5.247    1.944   34.441   1903.7    1.81E+30
 2154.43    6.777    2.007   41.731   2070.6    2.70E+30
 2782.56    8.753    2.072   50.556   2192.5    3.62E+30
 3593.81   11.305    2.143   61.072   2333.5    4.96E+30
# ----------------------------------------------------------


# t (Gyr) =  0.0032
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   59.95    0.189    0.659   10.773    351.8    2.43E+26
   77.43    0.244    0.899    7.465    400.7    7.59E+26
  100.00    0.315    1.053    7.043    443.0    1.56E+27
  129.15    0.406    1.153    7.573    495.4    2.93E+27
  166.81    0.525    1.226    8.654    551.5    5.07E+27
  215.44    0.678    1.277   10.311    613.6    8.44E+27
  278.26    0.875    1.318   12.503    680.7    1.36E+28
  317.89    1.000    1.334   13.932    719.0    1.73E+28
  359.38    1.131    1.350   15.394    758.0    2.19E+28
  464.16    1.460    1.381   18.976    856.5    3.75E+28
  599.48    1.886    1.412   23.456    978.8    6.68E+28
  774.26    2.436    1.445   28.912   1117.5    1.19E+29
 1000.00    3.146    1.483   35.484   1274.7    2.12E+29
 1291.55    4.063    1.527   43.240   1427.7    3.53E+29
 1668.10    5.247    1.589   51.558   1570.2    5.60E+29
 2154.43    6.777    1.662   60.885   1717.2    8.75E+29
 2782.56    8.753    1.739   71.763   1866.7    1.34E+30
 3593.81   11.305    1.820   84.684   2029.5    2.05E+30
# ----------------------------------------------------------


# t (Gyr) =  0.0100
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   59.95    0.189    0.613   12.449    258.4    6.12E+25
   77.43    0.244    0.822    8.946    306.0    2.17E+26
  100.00    0.315    0.961    8.445    343.8    4.70E+26
  129.15    0.406    1.058    9.002    380.3    8.53E+26
  166.81    0.525    1.128   10.220    417.7    1.41E+27
  215.44    0.678    1.176   12.158    462.0    2.30E+27
  278.26    0.875    1.213   14.760    517.5    3.86E+27
  317.89    1.000    1.227   16.459    550.1    5.04E+27
  359.38    1.131    1.241   18.214    582.1    6.45E+27
  464.16    1.460    1.266   22.579    654.6    1.08E+28
  599.48    1.886    1.285   28.305    739.6    1.81E+28
  774.26    2.436    1.300   35.758    840.9    3.08E+28
 1000.00    3.146    1.317   44.947    934.0    4.83E+28
 1291.55    4.063    1.352   55.149   1044.3    7.92E+28
 1668.10    5.247    1.392   67.182   1179.9    1.37E+29
 2154.43    6.777    1.434   81.682   1331.7    2.36E+29
