No;Nostr;Type;BHMCat;SourceCat;SourceID;SysID;RA;DEC;Pbin;abin;ebin;wbin;Z;Fe/H;FeHerr;ibin;taumin;taumax;vsini1;vsin1err;vsini2;vsini2err;Prot1;Prot1err;Prot2;Prot2err;V;BV;M1;M1err;M2;M2err;q;R1;R1err;R2;R2err;T1;T1err;T2;T2err;logg1;logg1err;logg2;logg2err;S-type1;S-type2;Lx;Planets;SysADS
0016;0016;V;BHMCat0016V;NICHE;8;NICHE-008;-2;-2;20;0,1212827;0,3;-1,0000;0,0152;0;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;0,85;0;0,7;0;0,824;-2;0;-2;0;-2;-2;-2;-2;-2;-2;-2;-2;-;-;-2;-;-
0017;0017;V;BHMCat0017V;NICHE;9;NICHE-009;-2;-2;15;0,0923835;0,3;-1,0000;0,0152;0;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;0,85;0;0,55;0;0,647;-2;0;-2;0;-2;-2;-2;-2;-2;-2;-2;-2;-;-;-2;-;-
0018;0018;V;BHMCat0018V;NICHE;10;NICHE-010;-2;-2;18;0,1059710;0,4;-1,0000;0,0152;0;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;0,7;0;0,7;0;1,000;-2;0;-2;0;-2;-2;-2;-2;-2;-2;-2;-2;-;-;-2;-;-
0019;0019;V;BHMCat0019V;NICHE;11;NICHE-011;-2;-2;30;0,1374593;0,4;-1,0000;0,0152;0;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;0,7;0;0,55;0;0,786;-2;0;-2;0;-2;-2;-2;-2;-2;-2;-2;-2;-;-;-2;-;-
0020;0020;V;BHMCat0020V;NICHE;12;NICHE-012;-2;-2;30;0,1374593;0,3;-1,0000;0,0152;0;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;0,7;0;0,55;0;0,786;-2;0;-2;0;-2;-2;-2;-2;-2;-2;-2;-2;-;-;-2;-;
0021;0021;V;BHMCat0021V;DEBCat;40;LSPM J1112+7626;11 12 42.32;+76 26 56.40;41,033;0,2040000;0,2376;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14,85;1,490;0,395;0,002;0,275;0,001;0,696;0,386;0,005;0,298;0,005;3061;-1;2951;-1;-1;-1;-1;-1;M4V;M type;-1;-;-
0022;0022;V;BHMCat0022V;DEBCat;39;KX Cnc;08 42 45.90;+31 51 41.00;31,220;0,2553000;0,4666;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7,19;0,560;1,138;0,003;1,131;0,003;0,994;1,064;0,002;1,049;0,002;5902;-1;5847;-1;-1;-1;-1;-1;G0V;G0V;-1;-;-
0023;0023;V;BHMCat0023V;DEBCat;38;V69 47 Tuc;00 22 52.95;-72 03 40.68;29,540;0,2248000;0,0560;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;16,84;0,550;0,876;0,005;0,859;0,006;0,981;1,315;0,005;1,162;0,006;5942;-1;5956;-1;-1;-1;-1;-1;G-K type;G-K type;-1;-;-
0024;0024;V;BHMCat0024V;DEBCat;37;LL Aqr;22 34 42.15;-03 35 58.20;20,178;0,1883000;0,3165;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;9,32;0,540;1,167;0,009;1,014;0,006;0,869;1,305;0,007;0,990;0,008;6683;-1;6194;-1;-1;-1;-1;-1;F3V;F8V;-1;-;-
0025;0025;V;BHMCat0025V;DEBCat;36;V565 Lyr;19 20 49.38;+37 46 09.30;18,799;0,1727000;0,0196;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17,71;0,930;0,995;0,003;0,929;0,003;0,934;1,101;0,007;0,971;0,005;5597;-1;5432;-1;-1;-1;-1;-1;G type;G type;-1;-;-
