No,Nostr,Type,BHMCatS,SourceCat,SourceID,binary_str_SysID,star1_str_StarID,star1_M,star1_Merr,star1_R,star1_Rerr,star1_T,star1_Terr,star1_logg,star1_loggerr,star1_vsini,star1_vsinierr,star1_Protv,star1_Protverr,star1_Prot,star1_Proterr,star1_str_Stype,star2_str_StarID,star2_M,star2_Merr,star2_R,star2_Rerr,star2_T,star2_Terr,star2_logg,star2_loggerr,star2_vsini,star2_vsinierr,star2_Protv,star2_Protverr,star2_Prot,star2_Proterr,star2_str_Stype,binary_q,binary_Pbin,binary_abin,binary_ebin,binary_wbin,binary_Zfit,binary_FeHfit,binary_FeHfiterr,binary_Zobs,binary_FeHobs,binary_ibin,binary_taumin,binary_taumax,binary_V,binary_BV,binary_d,binary_derr,binary_dmod,binary_Lx,RA,DEC,Planets,Notes,binary_ADS
int,str,str,str,str,str,str,str,float,float,float,float,float,float,float,float,float,float,float,float,float,float,str,str,float,float,float,float,float,float,float,float,float,float,float,float,float,float,str,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,dms,dms,str,str,str
No.,No.,Type,Cat.Id.,Source Cat.,Source Id.,System Id.,Star 1 Id.,M_1,"M_1,err",R_1,"R_1,err",T_1,"T_1,err",log g_1,"log g_2,err","v_1 sin i,1","v_1 sin i_1,err","P_rot,v,1","P_rot,v,1,err","P_rot,1","P_rot,1,err",Sp. Type 1,Star 2 Id.,M_2,"M_2,err",R_2,"R_2,err",T_2,"T_2,err",log g_2 ,"log g_2,err",v_2 sin i_2,"v_2 sin i_2,err","P_rot,v,2","P_rot,v,2,err","P_rot,2","P_rot,2,err",Sp. Type 2,q,P_bin,a_bin,e_bin,\omega_bin,Z_fit,[Fe/H]_fit,"[Fe/H]_fit,err",Z_obs,[Fe/H]_obs,i_bin,\tau_min,\tau_max,V,B-V,d,"d,err",d_mod,L_x,RA,DEC,Planets,Notes,ADS Link
8,0008,D,BHMCatS0008D,KIC,9632895,KIC-9632895,KIC-9632895 A,"0,934","0,01","0,833","0,011",5527,100,"4,803","0,015","1,9",1,-1,-1,"20,31","0,47",-,KIC-9632895 B,"0,1938","0,002","0,2143","0,0014",3309,100,"5,063","0,005",-1,-1,-1,-1,-1,-1,-,"0,207494646680942","27,322037","0,18749","0,05099","262,86",-1,"-0,34",-1,-1,"-0,343","90,275","1,5","2,5","13,552","0,055",-1,-1,-1,-1,18 52 57.912,+46 22 42.49,BHMCatPD0009;,,2014arXiv1409.1605W;
9,0009,P,BHMCatS0009P,DEBCat,39,KX Cnc,KX Cnc A,"1,138","0,003","1,064","0,002",5902,-1,-1,-1,-1,-1,-1,-1,-1,-1,G0V,KX Cnc B,"1,131","0,003","1,049","0,002",5847,-1,-1,-1,-1,-1,-1,-1,-1,-1,G0V,"0,993848857644991","31,22","0,2553","0,4666",-1,-1,-1,-1,-1,-1,-1,-1,-1,"7,19","0,56",-1,-1,-1,-1,08 42 45.90,+31 51 41.00,BHMCatPP0010;,,2006PZP.....6...14D;
10,0010,P,BHMCatS0010P,DEBCat,29,V54 M55,V54 M55 A,"0,726","0,015","1,006","0,009",6251,-1,-1,-1,-1,-1,-1,-1,-1,-1,F type,V54 M55 B,"0,555","0,008","0,528","0,005",5023,-1,-1,-1,-1,-1,-1,-1,-1,-1,K type,"0,764462809917356","9,269","0,0938","0,133",-1,-1,-1,-1,-1,-1,-1,-1,-1,"18,3","0,56",-1,-1,-1,-1,-1,-1,BHMCatPP0011;,,2014AcA....64...11K;
11,0011,P,BHMCatS0011P,DEBCat,28,V66 M4,V66 M4 A,"0,784","0,005","0,935","0,005",6165,-1,-1,-1,-1,-1,-1,-1,-1,-1,G type,V66 M4 B,"0,744","0,004","0,83","0,005",5943,-1,-1,-1,-1,-1,-1,-1,-1,-1,G type,"0,948979591836735","8,111","0,091",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,"16,84","0,88",-1,-1,-1,-1,16 23 32.23,-26 31 41.30,BHMCatPP0012;,,2013AJ....145...43K;
12,0012,P,BHMCatS0012P,DEBCat,27,EW Ori,EW Ori A,"1,173","0,011","1,168","0,005",6067,-1,-1,-1,-1,-1,-1,-1,-1,-1,G0V,EW Ori B,"1,123","0,009","1,097","0,005",5902,-1,-1,-1,-1,-1,-1,-1,-1,-1,G2V,"0,957374254049446","6,937","0,0946","0,0758",-1,-1,-1,-1,-1,-1,-1,-1,-1,"9,09","0,57",-1,-1,-1,-1,05 20 09.15,+02 02 39.97,BHMCatPP0013;,,2010A%26A...511A..22C;
13,0013,P,BHMCatS0013P,DEBCat,26,V785 Cep,V785 Cep A,"1,103","0,007","1,424","0,019",5902,-1,-1,-1,-1,-1,-1,-1,-1,-1,G type,V785 Cep B,"1,081","0,007","1,373","0,019",5874,-1,-1,-1,-1,-1,-1,-1,-1,-1,G type,"0,980054397098821","6,504","0,0885",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,"14,74","0,6",-1,-1,-1,-1,00 52 37.54,+85 10 34.65,BHMCatPP0014;,,2014AJ....147...42Z; 2012MNRAS.425.3104F;
14,0014,P,BHMCatS0014P,EkCat,141,M4-V69,M4-V69 A,"0,766","0,005","0,866","0,01",6084,121,"4,444","0,132",-1,-1,-1,-1,-1,-1,F type,M4-V69 B,"0,728","0,004","0,807","0,008",5915,137,"4,483","0,119",-1,-1,-1,-1,-1,-1,G type,"0,950391644908616","48,1882687","0,296410819251337","0,384","65,25",-1,-1,-1,-1,-1,"89,79","10,57","11,23","17,01","0,902",1850,30,-1,-1,16:23:58.01,-26:37:18.00,BHMCatPP0015;,,2013AJ....145...43K;
15,0015,P,BHMCatS0015P,EkCat,113,LSPM J1112+7626,LSPM J1112+7626 A,"0,395","0,002","0,381","0,005",3061,162,"4,861","0,012",-1,-1,-1,-1,-1,-1,M4V ,LSPM J1112+7626 B,"0,275","0,001","0,3","0,005",2952,163,"4,929","0,014",-1,-1,-1,-1,-1,-1,M type,"0,69620253164557","41,032336","0,203875532085561","0,239",-1,-1,-1,-1,-1,-1,"89,71",-1,-1,"12,015",-1,"48,1",5,-1,-1,11:12:42.32,+76:26:56.40,BHMCatPP0016;,DEBCat,2011ApJ...742..123I;
16,0016,P,BHMCatS0016P,EkCat,3,V69-47 Tuc ,V69-47 Tuc  A,"0,876","0,005","1,315","0,005",5945,150,"4,1","0,004",-1,-1,-1,-1,-1,-1,G type,V69-47 Tuc  B,"0,859","0,006","1,162","0,006",5959,150,"4,1","0,006",-1,-1,-1,-1,-1,-1,G type,"0,980593607305936","29,53975","0,224821648395722","0,056",-1,-1,-1,-1,-1,-1,"89,77",-1,-1,"16,85",-1,4418,166,-1,-1,00:22:52.95,-72:03:40.68,BHMCatPP0017;,DEBCat,2010AJ....139..329T ;
17,0017,P,BHMCatS0017P,EkCat,9,AI Phe,AI Phe A,"1,236","0,005","2,93","0,048",6310,150,"3,596","0,014",6,1,-1,-1,-1,-1,F7V ,AI Phe B,"1,195","0,004","1,816","0,024",5010,120,"3,997","0,012",4,1,-1,-1,-1,-1,K0IV,"0,966828478964401","24,592325","0,222494302139037","0,186",-1,-1,-1,-1,-1,-1,"88,45",-1,-1,"8,607",-1,162,6,-1,-1,01:09:34.19,-46:15:56.09,BHMCatPP0018;,,1988A&A...196..128A;
