SourceCat,SourceID,SysID,RA,DEC,binary_Pbin,binary_abin,binary_ebin,binary_wbin,binary_Zfit,binary_FeHfit,binary_FeHfiterr,binary_Zobs,binary_FeHobs,binary_ibin,binary_taumin,binary_taumax,star1_vsini,star1_vsinierr,star2_vsini,star2_vsinierr,star1_Protv,star1_Protverr,star2_Protv,star2_Protverr,star1_Prot,star1_Proterr,star2_Prot,star2_Proterr,binary_V,binary_BV,binary_d,binary_derr,binary_dmod,star1_M,star1_Merr,star2_M,star2_Merr,binary_q,star1_R,star1_Rerr,star2_R,star2_Rerr,star1_T,star1_Terr,star2_T,star2_Terr,star1_logg,star1_loggerr,star2_logg,star2_loggerr,binary_Lx,star1_Stype,star2_Stype,Planets,binary_ADS
str,str,str,dms,dms,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,str,str,str,str
Source Cat.,Source Id.,System Id.,RA,DEC,P_bin,a_bin,e_bin,\omega_bin,Z_fit,[Fe/H]_fit,"[Fe/H]_fit,err",Z_obs,[Fe/H]_obs,i_bin,\tau_min,\tau_max,"v_1 sin i,1","v_1 sin i_1,err",v_2 sin i_2,"v_2 sin i_2,err","P_rot,v,1","P_rot,v,1,err","P_rot,v,2","P_rot,v,2,err","P_rot,1","P_rot,1,err","P_rot,2","P_rot,2,err",V,B-V,d,"d,err",d_mod,M_1,"M_1,err",M_2,"M_2,err",q,R_1,"R_1,err",R_2,"R_2,err",T_1,"T_1,err",T_2,"T_2,err",log g_1,"log g_2,err",log g_2 ,"log g_2,err",L_x,Sp. Type 1,Sp. Type 2,Planets,ADS Link
DEBCat,11,HP Aur,05 10 21.78,+35 47 46.63,"1,423","0,0299",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"11,17","0,68",-1,-1,-1,"0,954","0,004","0,809","0,004","0,848008385744235","1,028","0,003","0,776","0,004",5807,-1,5164,-1,-1,-1,-1,-1,-1,G2V,K1V,-,-
DEBCat,10,IM Vir,12 49 38.70,-06 04 44.90,"1,309","0,0276",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"9,57","0,66",-1,-1,-1,"0,981","0,012","0,664","0,005","0,676860346585117","1,061","0,016","0,681","0,013",5675,-1,4246,-1,-1,-1,-1,-1,-1,G7V,K7V,-,-
DEBCat,9,1SWASP J093010.78+533859.5,09 30 10.78,+53 38 59.50,"1,306","0,0262",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"9,84","0,88",-1,-1,-1,"0,766","0,014","0,644","0,012","0,840731070496084","0,757","0,008","0,743","0,01",5000,-1,4236,-1,-1,-1,-1,-1,-1,K1V,K5V,-,-
DEBCat,8,CM Dra,16 34 20.35,+57 09 44.70,"1,268","0,0175","0,0051",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"12,9","1,6",-1,-1,-1,"0,231","0,001","0,214","0,001","0,926406926406926","0,253","0,002","0,24","0,002",3133,-1,3118,-1,-1,-1,-1,-1,-1,M4.5V,M4.5V,-,-
DEBCat,7,CV Boo,15 26 19.54,+36 58 53.40,"0,847","0,022",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"10,8","0,5",-1,-1,-1,"1,032","0,013","0,968","0,012","0,937984496124031","1,262","0,023","1,173","0,023",5754,-1,5675,-1,-1,-1,-1,-1,-1,G2V,G3V,-,-
DEBCat,6,MG1-116309,04 48 09.60,+03 17 47.00,"0,827","0,0178",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"16,1","1,4",-1,-1,-1,"0,567","0,002","0,532","0,002","0,938271604938272","0,552","0,013","0,532","0,009",3917,-1,3810,-1,-1,-1,-1,-1,-1,K8V,M0V,-,-
DEBCat,5,YY Gem,07 34 37.30,+31 52 09.00,"0,814","0,0181",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"9,07","1,49",-1,-1,-1,"0,598","0,005","0,601","0,005","1,00501672240803","0,619","0,006","0,603","0,006",3820,-1,3820,-1,-1,-1,-1,-1,-1,M1Ve,M1Ve,-,-
DEBCat,4,ASAS J212954-5620.1,21 29 54.00,-56 20 06.00 ,"0,702","0,0178","0,011",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"11,93","1,17",-1,-1,-1,"0,833","0,017","0,703","0,013","0,843937575030012","0,845","0,012","0,818","0,017",4753,-1,4217,-1,-1,-1,-1,-1,-1,K type,K type,-,-
DEBCat,3,CG Cyg,20 58 13.45,+35 10 29.66,"0,631",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"10,08","0,86",-1,-1,-1,"0,94","0,012","0,81","0,013","0,861702127659574","0,89","0,013","0,84","0,014",5260,-1,4720,-1,-1,-1,-1,-1,-1,G9V,K3V,-,-
DEBCat,2,GU Boo,15 21 54.83,+33 56 08.80,"0,489",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"13,7","1,5",-1,-1,-1,"0,61","0,007","0,599","0,006","0,981967213114754","0,623","0,016","0,62","0,02",3920,-1,3810,-1,-1,-1,-1,-1,-1,M0V,M1.5V,-,-
DEBCat,1,V404 CMa,06 15 55.42,-18 44 51.70,"0,452","0,129",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"17,45","1,17",-1,-1,-1,"0,733","0,005","0,662","0,005","0,903137789904502","0,719","0,014","0,68","0,017",4200,-1,3240,-1,-1,-1,-1,-1,-1,K type,K type,-,-
