BHMCatP,PlanetID,planet_fHHe,planet_CMF,planet_tau,planet_Prot,planet_R,planet_M,planet_Extra1,planet_Extra2,planet_Extra3,planet_Extra4,planet_Extra5,planet_str_Extra1,planet_str_Extra2,interaction_tauini,interaction_tauref,interaction_nM,interaction_nP,interaction_str_refobj,interaction_Mmin,interaction_Mmax,interaction_alpha,interaction_muatm,interaction_Extra1,interaction_Extra2,interaction_Extra3,interaction_Extra4,interaction_Extra5,interaction_str_Extra1,interaction_str_Extra2
str,str,float,float,float,float,float,float,float,float,float,float,float,str,str,float,float,float,float,str,float,float,float,float,float,float,float,float,float,str,str
Cat.Id.,System Id.,"f_H,He",CMF,\tau,P_rot,R_p,M_p,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra String 1,Extra String 2,\tau_ini,\tau_ref,n_M,n_P,Ref. Obj.,M_min,M_max,\alpha,\mu_atm,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra String 1,Extra String 2
BHMCatPP0024,TYC 176-2950-1h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0025,BF Drah,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0026,HP Drah,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0027,RW Lach,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0028,HS Aurh,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0029,TV Ceth,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0030,ASAS J162637-5042.8 h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0031,2MASS J19071662+4639532 h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0032,M4-V66h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0033,CD-80 28h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
