,,
,Do not remove this sheet,
,,
,Mearth,"5,9722E+024"
,Mjupiter,"1,899E+027"
,Rearth,6371000
,Rjupiter,71492000
,MJE,"317,973276179632"
,RJE,"11,2214722963428"
